# Civil nuclear power: decade-level case-study table (small-N by design;
# treated with priors, not fitted). reactor_years and capacity additions are
# approximations read from IAEA PRIS aggregates and OWID; INES>=4 event list
# from IAEA/standard references. See README.md.
decade,reactor_years,capacity_added_gw,ines4plus_events,event_names,s_regulator
1955,300,5,3,Kyshtym 1957; Windscale 1957; SL-1 1961,0.2
1965,1500,60,2,Lucens 1969; Saint-Laurent 1969,0.35
1975,4200,170,2,Three Mile Island 1979; Saint-Laurent 1980,0.55
1985,7500,120,1,Chernobyl 1986,0.7
1995,8700,40,1,Tokaimura 1999,0.85
2005,8800,45,1,Fukushima 2011,0.9
2015,8600,60,0,,0.95
